"","gene_id","NK1.count.txt","NK2.count.txt","T4.count.txt","T5.count.txt","T6.count.txt","symbols"
"379","ENSG00000017427",212,1070,330,343,248,"IGF1"
"380","ENSG00000017483",26,70,63,60,79,"SLC38A5"
"381","ENSG00000017797",191,608,345,223,377,"RALBP1"
"382","ENSG00000018189",364,866,767,418,658,"RUFY3"
"383","ENSG00000018236",65,73,119,50,28,"CNTN1"
"384","ENSG00000018280",167,479,25,55,56,"SLC11A1"
"385","ENSG00000018408",261,718,669,712,1127,"WWTR1"
"386","ENSG00000018510",381,1065,827,455,749,"AGPS"
"387","ENSG00000018607",13,2,2,2,2,"ZNF806"
"388","ENSG00000018610",50,97,63,46,75,"STEEP1"
"389","ENSG00000018625",36,53,147,82,43,"ATP1A2"
"390","ENSG00000018699",80,168,135,133,179,"TTC27"
"391","ENSG00000018869",21,43,43,18,33,"ZNF582"
"392","ENSG00000019102",12,11,13,2,13,"VSIG2"
"393","ENSG00000019144",197,489,349,467,713,"PHLDB1"
"394","ENSG00000019169",5,113,4,8,11,"MARCO"
"395","ENSG00000019186",25,198,34,8,0,"CYP24A1"
"396","ENSG00000019485",109,309,381,302,581,"PRDM11"
"397","ENSG00000019505",30,19,51,22,42,"SYT13"
"398","ENSG00000019549",133,564,302,761,645,"SNAI2"
"399","ENSG00000019582",1550,4472,347,86,307,"CD74"
"400","ENSG00000019991",89,1219,193,811,990,"HGF"
"401","ENSG00000019995",300,807,735,376,666,"ZRANB1"
"402","ENSG00000020129",72,183,114,128,180,"NCDN"
"403","ENSG00000020181",170,910,666,1059,1343,"ADGRA2"
"404","ENSG00000020219",1,1,2,2,0,"CCT8L1P"
"405","ENSG00000020256",97,209,159,108,175,"ZFP64"
"406","ENSG00000020426",49,124,139,77,120,"MNAT1"
"407","ENSG00000020577",210,754,481,351,410,"SAMD4A"
"408","ENSG00000020633",140,273,221,29,24,"RUNX3"
"409","ENSG00000020922",172,391,308,202,339,"MRE11"
"410","ENSG00000021300",44,39,107,38,109,"PLEKHB1"
"411","ENSG00000021355",215,587,428,66,373,"SERPINB1"
"412","ENSG00000021461",12,2,1,1,1,"CYP3A43"
"413","ENSG00000021488",6,16,11,12,30,"SLC7A9"
"414","ENSG00000021574",194,468,436,242,415,"SPAST"
"415","ENSG00000021645",77,131,271,112,161,"NRXN3"
"416","ENSG00000021762",66,224,114,67,90,"OSBPL5"
"417","ENSG00000021776",399,1070,892,558,1026,"AQR"
"418","ENSG00000021826",72,151,367,182,1288,"CPS1"
"419","ENSG00000021852",5,9,3,4,1,"C8B"
"420","ENSG00000022267",80,241,262,274,502,"FHL1"
"421","ENSG00000022277",103,322,221,115,187,"RTF2"
"422","ENSG00000022355",17,14,4,9,5,"GABRA1"
"423","ENSG00000022556",94,207,119,54,176,"NLRP2"
"424","ENSG00000022567",101,393,136,82,159,"SLC45A4"
"425","ENSG00000022840",340,1010,826,721,1104,"RNF10"
"426","ENSG00000022976",68,107,102,52,98,"ZNF839"
"427","ENSG00000023041",154,474,276,211,316,"ZDHHC6"
"428","ENSG00000023171",119,258,401,175,232,"GRAMD1B"
"429","ENSG00000023191",116,464,196,163,243,"RNH1"
"430","ENSG00000023228",551,1457,1079,788,1412,"NDUFS1"
"431","ENSG00000023287",381,887,789,553,730,"RB1CC1"
"432","ENSG00000023318",230,830,512,379,674,"ERP44"
"433","ENSG00000023330",255,729,619,232,358,"ALAS1"
"434","ENSG00000023445",122,235,426,68,43,"BIRC3"
"435","ENSG00000023516",537,1911,1310,785,1490,"AKAP11"
"436","ENSG00000023572",64,198,112,95,176,"GLRX2"
"437","ENSG00000023608",29,72,61,39,39,"SNAPC1"
"438","ENSG00000023697",62,274,187,120,352,"DERA"
"439","ENSG00000023734",227,764,618,607,963,"STRAP"
"440","ENSG00000023839",63,131,174,35,362,"ABCC2"
"441","ENSG00000023892",55,139,87,15,40,"DEF6"
"442","ENSG00000023902",101,335,105,114,127,"PLEKHO1"
"443","ENSG00000023909",60,160,93,106,132,"GCLM"
"444","ENSG00000024048",408,1318,948,520,986,"UBR2"
"445","ENSG00000024422",198,1149,447,944,1563,"EHD2"
"446","ENSG00000024526",46,149,99,71,229,"DEPDC1"
"447","ENSG00000024862",22,90,56,29,19,"CCDC28A"
"448","ENSG00000025039",262,902,478,179,297,"RRAGD"
"449","ENSG00000025156",86,191,229,171,297,"HSF2"
"450","ENSG00000025293",264,723,530,316,447,"PHF20"
"451","ENSG00000025423",8,14,9,8,14,"HSD17B6"
"452","ENSG00000025434",85,240,93,77,161,"NR1H3"
"453","ENSG00000025708",67,309,70,44,69,"TYMP"
"454","ENSG00000025770",52,89,52,47,94,"NCAPH2"
"455","ENSG00000025772",31,84,35,35,57,"TOMM34"
"456","ENSG00000025796",356,1243,876,915,1452,"SEC63"
"457","ENSG00000025800",445,1369,798,446,966,"KPNA6"
"458","ENSG00000026025",4131,15631,8924,9226,8608,"VIM"
